StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
BXB,15535679488.0,17620099072.0,3.1944072,5.772802,3.623,12.299,0.09212,0.19469999,0.0799,0.14538,4863399936.0,3.14,-0.005,1710800000.0,1432600064.0,477200000.0,0.288,805900032.0,0.535,2517700096.0,91.34,1.119,1.831,1386899968.0,194224992.0,-0.15507597,13.42,8.97,10.63697,10.714143,4141076.0,3000241.0,1469789952.0,1504440499.0
CDD,136435872.0,268372448.0,0.13794373,0.529595,0.271,3.799,0.057210002,0.03203,0.02537,-0.17524,989068992.0,2.222,0.033,84411000.0,70647000.0,-67078000.0,0.127,57723000.0,0.129,174231008.0,60.734,1.268,0.642,73477000.0,100230000.0,-0.08108109,0.44,0.195,0.34080645,0.3082971,177358.0,188239.0,401281984.0,155955853.0
CI1,39216548.0,37755848.0,2.8810441,3.4444444,2.774,7.275,0.18669,0.37585998,0.1576,0.41292,13611922.0,0.013,1.326,13611922.0,5189807.0,2541275.0,0.002,3154490.0,0.003,2465450.0,22.307,1.101,0.009,3143005.0,7400571.0,0.54999995,0.043,0.02,0.031258065,0.027471015,9564156.0,6337924.0,1265049984.0,433095051.0
CLH,49681800.0,119728544.0,0.329073,0.6769826,0.793,2.481,-0.96089,0.2759,0.06435,-0.95988,150975008.0,1.074,-0.32,128236000.0,48266000.0,-145070000.0,-1.032,182196992.0,1.288,252423008.0,345.222,0.834,0.517,65349000.0,16081375.0,-0.6666666,1.09,0.26,0.6262903,0.98195654,416639.0,925859.0,141948000.0,136795335.0
CLQ,234774352.0,158793952.0,201.00543,4.6491227,135.954,-8.349,0.0,-148.96661,-0.7257,-1.41419,1168000.0,0.002,-0.712,-11007000.0,-19019000.0,-197482000.0,-0.265,40083000.0,0.054,1351000.0,3.21,7.984,0.057,3453000.0,15655625.0,0.081632614,0.385,0.105,0.2785484,0.2565942,1296125.0,2654339.0,885940992.0,570556858.0
CLT,24318210.0,28556756.0,0.25272238,0.95454544,0.297,-50.722,-0.02466,-0.0134000005,-0.01664,-0.09804,96225000.0,0.909,-0.253,18112000.0,-563000.0,-2373000.0,-0.022,6936000.0,0.03,11072000.0,43.589,1.754,0.11,3625000.0,2537250.0,-0.4166667,0.18,0.03,0.09880645,0.05915942,3279595.0,2912953.0,232602000.0,45534244.0
CLX,52844432.0,145249968.0,0.24467063,0.625,0.673,9.593,-0.02014,0.02885,0.020580001,-0.05059,215981920.0,2.879,0.054,42739429.0,15140912.0,-4348839.0,-0.058,7611064.0,0.101,101842392.0,124.785,0.96,1.088,23332148.0,18065370.0,-0.14999998,0.865,0.44,0.71129036,0.6086232,16140.0,3040.0,77712400.0,35881113.0
CUP,137067600.0,137497488.0,1.6592734,1.948052,1.664,15.03,0.19201,0.081999995,0.01963,0.25023,82607000.0,0.745,0.34,29859000.0,9148000.0,15861000.0,0.142,25842000.0,0.232,20093000.0,25.723,1.081,0.616,12437000.0,9324250.0,0.004184127,1.34,0.7,1.2019355,1.0249456,35150.0,40405.0,114223000.0,97856588.0
CVL,214196848.0,324083936.0,0.5466046,0.89523816,0.827,9.145,0.04488,0.06373,0.030299999,0.08028,391868000.0,0.782,0.774,44651000.0,35438000.0,17586000.0,0.035,27712000.0,0.055,116448000.0,44.264,1.015,0.525,95201000.0,19824624.0,0.06818187,0.535,0.35,0.44854838,0.4293478,25035.0,31892.0,501084992.0,215363432.0
CWY,4568427008.0,5546357760.0,1.9589326,1.7745802,2.378,14.038,0.048410002,0.08336,0.02813,0.04409,2332100096.0,1.137,0.001,596800000.0,395100000.0,112900000.0,0.055,79800000.0,0.039,1065400000.0,41.439,0.905,1.251,401500000.0,206475008.0,0.12690353,2.665,1.395,2.3912122,2.3050714,5876727.0,8379765.0,2057849984.0,2046037143.0
