,MSE,rf_n_estimators,rf_max_depth,rf_max_leaves,rf_min_samples_split,rf_n_bins,scalers
334,1.7908053351046012,50,400,500,10,32,MinMaxScaler
335,1.7911556613124158,50,400,500,10,32,QuantileTransformer
336,1.791162206123814,50,400,500,10,128,StandardScaler
337,1.79077617897611,50,400,500,10,128,MinMaxScaler
338,1.791194195299806,50,400,500,10,128,QuantileTransformer
339,1.7912190880887229,50,400,500,10,512,StandardScaler
340,1.7908135706981607,50,400,500,10,512,MinMaxScaler
341,1.791279598356676,50,400,500,10,512,QuantileTransformer
342,1.7912274938748876,50,400,500,20,32,StandardScaler
343,1.7907683338352147,50,400,500,20,32,MinMaxScaler
344,1.7911125440557003,50,400,500,20,32,QuantileTransformer
345,1.7911192895645724,50,400,500,20,128,StandardScaler
346,1.7906950176053311,50,400,500,20,128,MinMaxScaler
347,1.791115048403912,50,400,500,20,128,QuantileTransformer
348,1.7911396234457917,50,400,500,20,512,StandardScaler
349,1.7907152159332302,50,400,500,20,512,MinMaxScaler
350,1.7911790137330683,50,400,500,20,512,QuantileTransformer
351,1.7911180847531734,50,400,500,50,32,StandardScaler
352,1.7906667953820452,50,400,500,50,32,MinMaxScaler
353,1.79098223244068,50,400,500,50,32,QuantileTransformer
354,1.790976329510069,50,400,500,50,128,StandardScaler
355,1.7905570933396782,50,400,500,50,128,MinMaxScaler
356,1.7909634247122197,50,400,500,50,128,QuantileTransformer
357,1.7909765882593442,50,400,500,50,512,StandardScaler
358,1.790550221459601,50,400,500,50,512,MinMaxScaler
359,1.79100146167414,50,400,500,50,512,QuantileTransformer
360,1.7909659280102628,50,400,200,2,32,StandardScaler
361,1.790586315131812,50,400,200,2,32,MinMaxScaler
362,1.7909263457427127,50,400,200,2,32,QuantileTransformer
363,1.7909368233494616,50,400,200,2,128,StandardScaler
364,1.7906032470788735,50,400,200,2,128,MinMaxScaler
365,1.7910001637394906,50,400,200,2,128,QuantileTransformer
366,1.791025398058811,50,400,200,2,512,StandardScaler
367,1.7906546539789778,50,400,200,2,512,MinMaxScaler
368,1.7911003919787782,50,400,200,2,512,QuantileTransformer
369,1.7910542917289487,50,400,200,10,32,StandardScaler
370,1.7906470132195085,50,400,200,10,32,MinMaxScaler
371,1.790979815850968,50,400,200,10,32,QuantileTransformer
372,1.7909862766795808,50,400,200,10,128,StandardScaler
373,1.790619996360822,50,400,200,10,128,MinMaxScaler
374,1.79101714523234,50,400,200,10,128,QuantileTransformer
375,1.791041031831424,50,400,200,10,512,StandardScaler
376,1.7906561618777288,50,400,200,10,512,MinMaxScaler
377,1.7910989994150075,50,400,200,10,512,QuantileTransformer
378,1.791049760275002,50,400,200,20,32,StandardScaler
379,1.7906138481412124,50,400,200,20,32,MinMaxScaler
380,1.7909410545419988,50,400,200,20,32,QuantileTransformer
381,1.790947701046978,50,400,200,20,128,StandardScaler
382,1.7905448314605543,50,400,200,20,128,MinMaxScaler
383,1.7909441460378197,50,400,200,20,128,QuantileTransformer
384,1.7909677347151551,50,400,200,20,512,StandardScaler
385,1.7905646481214297,50,400,200,20,512,MinMaxScaler
386,1.791005644608017,50,400,200,20,512,QuantileTransformer
387,1.790947972709408,50,400,200,50,32,StandardScaler
388,1.790519243845936,50,400,200,50,32,MinMaxScaler
389,1.7908192991352547,50,400,200,50,32,QuantileTransformer
390,1.790813910739327,50,400,200,50,128,StandardScaler
391,1.7904155526541166,50,400,200,50,128,MinMaxScaler
392,1.7908020848621122,50,400,200,50,128,QuantileTransformer
393,1.7908148218198197,50,400,200,50,512,StandardScaler
394,1.790409596734611,50,400,200,50,512,MinMaxScaler
395,1.7908389167726548,50,400,200,50,512,QuantileTransformer
396,1.7908010114485684,50,400,100,2,32,StandardScaler
397,1.7904343145088006,50,400,100,2,32,MinMaxScaler
398,1.7907499868511627,50,400,100,2,32,QuantileTransformer
399,1.790759279314792,50,400,100,2,128,StandardScaler
400,1.7904384225029362,50,400,100,2,128,MinMaxScaler
401,1.790817224828494,50,400,100,2,128,QuantileTransformer
402,1.7908398160927563,50,400,100,2,512,StandardScaler
403,1.7904869407983457,50,400,100,2,512,MinMaxScaler
404,1.79091066529225,50,400,100,2,512,QuantileTransformer
405,1.7908662819333343,50,400,100,10,32,StandardScaler
406,1.7904787258625885,50,400,100,10,32,MinMaxScaler
407,1.7907942427038122,50,400,100,10,32,QuantileTransformer
408,1.7908003421148853,50,400,100,10,128,StandardScaler
409,1.79045224906297,50,400,100,10,128,MinMaxScaler
410,1.7908294823311146,50,400,100,10,128,QuantileTransformer
411,1.79085172799032,50,400,100,10,512,StandardScaler
412,1.7904852996667913,50,400,100,10,512,MinMaxScaler
413,1.79090689441906,50,400,100,10,512,QuantileTransformer
414,1.7908602621530518,50,400,100,20,32,StandardScaler
415,1.7904453955160886,50,400,100,20,32,MinMaxScaler
416,1.790757236705843,50,400,100,20,32,QuantileTransformer
417,1.790763809920501,50,400,100,20,128,StandardScaler
418,1.7903803251069386,50,400,100,20,128,MinMaxScaler
419,1.7907609083769611,50,400,100,20,128,QuantileTransformer
420,1.7907836204135903,50,400,100,20,512,StandardScaler
421,1.790399852704627,50,400,100,20,512,MinMaxScaler
422,1.7908202219551963,50,400,100,20,512,QuantileTransformer
423,1.7907655154556297,50,400,100,50,32,StandardScaler
424,1.7903572362163456,50,400,100,50,32,MinMaxScaler
425,1.790643376968456,50,400,100,50,32,QuantileTransformer
426,1.790638471686704,50,400,100,50,128,StandardScaler
427,1.790259047945128,50,400,100,50,128,MinMaxScaler
428,1.7906276574590994,50,400,100,50,128,QuantileTransformer
429,1.7906400248117669,50,400,100,50,512,StandardScaler
