StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
LOV,1142299776.0,1288247808.0,4.7168164,19.576427,5.319,28.977,0.046329997,0.12995,0.1095,242176000.0,2.279,-0.322,187269000.0,44457000.0,11221000.0,0.106,21206000.0,0.197,167154000.0,286.38,0.746,0.543,80000000.0,40392376.0,-0.015740752,12.45,2.34,11.09394,8.936,310193.0,122872.0,107460000.0,55693294.0
MFD,27927610.0,65800656.0,0.7656378,1.0394266,1.804,11.213,0.08103,0.14869,0.04922,36476268.0,1.146,0.038,35865867.0,5868136.0,2955788.0,0.093,161205.0,0.005,38266488.0,143.581,0.159,0.837,8845881.0,8816530.0,-0.19444448,1.15,0.49,0.8945161,0.77717394,24870.0,29853.0,32100700.0,12550461.0
MHI,3770659.0,14545660.0,0.08492284,0.107238606,0.328,-2.56,-0.38713002,-0.18675,-0.07219,44401000.0,0.472,-0.446,8037000.0,-5681000.0,-17189000.0,-0.183,1965000.0,0.021,12740000.0,36.28,0.799,0.373,3670000.0,7635000.0,-0.65217394,0.13,0.04,0.040354837,0.047268115,9592.0,0.0,94266496.0,28325197.0
MHJ,254127536.0,411511776.0,0.5164564,1.649874,0.836,11.518,0.00622,0.041139998,0.02873,492060000.0,1.269,-0.362,298205000.0,35728000.0,3059000.0,0.008,11204000.0,0.029,168727008.0,109.701,1.386,0.397,83699000.0,64150000.0,0.08264458,0.74,0.22,0.66806453,0.48132247,103403.0,82903.0,387980992.0,190026250.0
MTO,157969152.0,225027184.0,0.43410286,1.2679543,0.618,9.473,-0.02506,0.05487,0.04996,363897984.0,5.897,0.182,102282000.0,23754000.0,-9120000.0,-0.148,39494000.0,0.64,106552000.0,85.523,1.86,2.019,35503000.0,37938876.0,0.302799,2.98,0.55,2.5496774,2.2119203,44469.0,38351.0,61706700.0,34460112.0
MYR,254596480.0,2040969728.0,0.1179015,1.4622642,0.945,15.152,-0.079840004,0.031719998,0.02283,2159399936.0,2.633,-0.272,958200000.0,134700000.0,-172400000.0,-0.21,86500000.0,0.106,1873299968.0,1075.991,0.619,0.212,191600000.0,191087504.0,-0.27058828,0.455,0.083,0.30322582,0.2570652,5673887.0,3000454.0,821278976.0,780423864.0
PPG,154110336.0,255895392.0,0.3222717,1.1046511,0.535,10.692,0.013890001,0.03075,0.02628,478200000.0,0.59,-0.006,195158000.0,23933000.0,6643000.0,0.008,23399000.0,0.029,125184000.0,89.707,1.599,0.172,53445000.0,43003124.0,0.72727275,0.245,0.06,0.19870968,0.18210144,766904.0,523515.0,811107008.0,318886829.0
NTD,122772528.0,124653000.0,0.7728494,1.6823162,0.785,10.931,0.02865,0.058369998,0.047620002,158856992.0,1.544,-0.073,41263000.0,11404000.0,4551000.0,0.044,25859000.0,0.226,24693000.0,35.867,2.732,0.639,15523000.0,15369500.0,1.7564106,1.135,0.205,0.9445161,0.72583336,124413.0,159832.0,114207000.0,58393886.0
ORA,2423061248.0,2992916480.0,0.6794519,2.3457942,0.839,9.68,0.06727,0.0629,0.04368,3566200064.0,3.699,-0.295,653500000.0,309200000.0,27600000.0,0.247,107300000.0,0.111,678800000.0,65.775,1.292,1.07,18900000.0,130925000.0,-0.20317465,3.51875,2.19,2.6245456,2.524857,2719255.0,1981035.0,932729024.0,961717216.0
PBH,3208198400.0,2255867392.0,42.6773,13.468507,30.009,-52.525,-0.55157,-0.59633,-0.18034,75173416.0,0.542,2.525,38249551.0,-42948684.0,-41463388.0,-0.299,144338944.0,0.942,9043461.0,5.106,5.523,1.159,-30323008.0,-35032676.0,2.001923,16.49,1.1,13.075,10.685217,1100122.0,1137243.0,205522000.0,102024996.0
PFP,299838016.0,393439296.0,2.7050207,1.6277808,3.549,15.9,0.09585,0.173,0.03536,110845000.0,1.124,0.121,79596000.0,24744000.0,10624000.0,0.108,53904000.0,0.546,151136992.0,83.069,1.503,1.843,21485000.0,6656125.0,-0.13793105,3.8,2.15,2.947742,2.8785508,54910.0,59271.0,99946000.0,61395663.0
PGH,825585600.0,1901716608.0,0.45633692,2.2160666,1.051,8.059,0.04911,0.08449,0.053179998,1809158016.0,5.259,0.006,1022983000.0,235976000.0,88847000.0,0.257,76714000.0,0.223,1152845952.0,309.365,0.932,1.083,192131008.0,127710128.0,-0.10780668,2.79,1.255,2.6206062,2.4147856,283163.0,198944.0,343993984.0,163379758.0
PGR,7107932.0,28218924.0,0.027151274,0.060818713,0.108,10.276,-0.016280001,-0.01087,-0.00987,261790000.0,1.915,-0.077,134219000.0,2746000.0,-3907000.0,-0.031,4811000.0,0.035,25922000.0,22.171,1.384,0.855,17935000.0,20589124.0,-0.584,0.135,0.03,0.052,0.052,0.0,0.0,136691008.0,23093921.0
PMV,3563319552.0,3553680384.0,2.883516,2.642243,2.876,13.702,0.11147001,0.17452,0.067880005,1235755008.0,7.795,-0.154,761173000.0,259350000.0,137752992.0,0.866,459363008.0,2.894,452864000.0,33.609,1.254,8.489,483582016.0,529264992.0,0.16217625,26.7,8.13,23.361876,20.977194,320332.0,226912.0,158864000.0,85788735.0
PWH,450809984.0,447126624.0,6.8584075,8.302583,6.802,24.791,0.19851999,0.23056,0.12855,65731000.0,0.657,-0.116,51482000.0,18036000.0,13049000.0,0.13,21295000.0,0.213,18027000.0,33.229,3.402,0.542,16169000.0,4634750.0,-0.05857742,5.28,2.5,4.637742,4.6626086,72109.0,41306.0,100180000.0,72379417.0
RBL,1739299840.0,1690935936.0,4.1784277,25.769232,4.062,-682.648,-0.021070002,-0.00874,-0.01613,416256992.0,1.605,0.488,77732976.0,-2477024.0,-8771000.0,-0.034,58129000.0,0.224,9763000.0,14.468,0.893,0.26,46602000.0,34674484.0,5.907216,7.35,0.4,6.39625,4.6427336,2179716.0,1124134.0,273560000.0,182616323.0
