StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
SPK,8233612800,8229961216,,7.7913046000,,,.1178600040,.0000000000,.0941700000,.2887100000,,,.0110000000,1201000000,,,.1440000000,,,,153.6500000000,1.1880000000,.5750000000,,,.0022372007,4.7200000000,3.3500000000,4.4328127000,4.4035974000,1056992,1182616,1837139968,1835263009
ST1,213444656,166544880,6.1995883000,4.4318180000,4.8370000000,98.6260000000,-.0439900000,-.0308200000,-.0155200010,-.0503800030,34428844,.0960000000,1.4100000000,21727635,1688645,-1514501,-.0040000000,6400303,.0150000000,4890544,12.8480000000,1.2330000000,.0880000000,3705220,-570186,1.1081080000,.4500000000,.1200000000,.3919355000,.3681521700,1068107,1419398,547294016,250892642
STC,2127348,1712734,,,,,.0000000000,.0000000000,-.1742600000,-1.3544400000,,,,,,-1263890,-.0020000000,481463,.0010000000,0,,1.8950000000,.0000000000,381931,779992,.0000000000,.0030000000,.0030000000,.0030000000,.0030000000,0,0,811689024,374147158
SW1,23578528,25671358,1.0215923000,,1.1120000000,-2.7080000000,-.9379100000,-.4823400000,-.2299099900,-4.4350900000,23080174,.1020000000,-.0810000000,9530832,-9479029,-21647092,-.0950000000,2448079,.0060000000,10058825,,.7050000000,-.0020000000,-4498307,-6574011,-.4874999500,.0850000000,.0110000000,.0386129020,.0373804350,908810,709467,575086016,252874989
SWM,553690816,1185890432,.4512208000,,.9660000000,-45.5270000000,-.1321400000,-.0320800000,-.0170000000,,1227095040,.8050000000,,270553000,-26048000,-200051008,-.1060000000,352020992,.2290000000,980697024,,1.6450000000,-.1560000000,47518000,212527632,.4693877700,.4000000000,.0600000000,.3258064700,.1906304400,5482888,7178231,1538029952,869066320
SXL,570702272,841197888,1.0565586000,.9703504000,1.5570000000,9.0170000000,.0464699980,.1302700000,.0319000000,.0490800000,540152000,3.8070000000,-.2850000000,421883000,93288000,25100000,.1770000000,271431008,1.0270000000,541635968,92.0530000000,3.9820000000,2.2260000000,103386000,76648000,-.6466194400,6.2545400000,.9950410000,2.2803125000,1.8776978000,1119178,530412,264214000,252833692
TGO,8356974,23804964,.0990385800,.5851064000,.2820000000,-1.4160000000,-.5180000000,-.2963700000,-.2020700100,-1.3678900000,84381000,.5910000000,-.2290000000,21341000,-16808000,-43709000,-.3060000000,6110000,.0400000000,21558000,150.9030000000,.7710000000,.0940000000,2447000,10366000,-.3888889000,.1900000000,.0300000000,.0399705880,.0505886520,84077,161723,151944992,33114849
TLS,37107093504,56736673792,1.5650399000,2.5615761000,2.3930000000,11.2020000000,.0767200000,.0834200000,.0284200000,.1239300000,23709999104,1.9960000000,-.0890000000,10706000000,5064999936,1819000064,.1530000000,517000000,.0440000000,19501000704,128.7450000000,.6470000000,1.2180000000,7009999872,2729999872,-.1853786100,3.9400000000,2.6600000000,3.0668750000,3.0186331000,21305247,19373883,11893300224,11828096830
TMH,96781680,106302528,8.0416660000,5.4838705000,8.8330000000,74.4350000000,.1076700000,.1047299950,.0343500000,.1234200000,12035029,.0750000000,2.9620000000,7328619,1428128,1295813,.0080000000,2376193,.0130000000,12305635,69.9160000000,.4190000000,.0930000000,927323,6752607,,.5150000000,.5100000000,,,,,189768000,71610873
SHO,12716970,9914946,3703.2527000000,,2887.2880000000,-8.5690000000,.0000000000,-337.6004600000,-2.4810898000,,3434,.0000000000,,-435634,-1157016,-1259559,-.0040000000,154589,.0000000000,223353,,.5990000000,-.0010000000,-2104298,-1744180,.0000000000,.0530000000,.0030000000,.0324193540,.0279275370,3498932,1227768,423899008,223994075
TNY,71066376,66556304,11.8851020000,4.7239260000,11.1310000000,-17.1670000000,-.7571800400,-.6793800600,-.2356600000,-.5808400000,5979450,.1480000000,.6460000000,-604911,-3877036,-4527544,-.1120000000,5220229,.1140000000,1271828,8.5180000000,2.3550000000,.3260000000,-2958827,-1464515,-.2222222700,2.2600000000,.5100000000,1.4595162000,1.2134963000,89638,132551,46147000,16517787
TPG,13759116288,23645128704,4.1316633000,1.2249628000,7.1000000000,37.3410000000,-.0129999990,.0411700000,.0052600000,-.0085200000,3330163968,1.7910000000,-.1060000000,1484201000,633225024,-43311000,-.0230000000,470000000,.2530000000,10348999680,92.0730000000,.5450000000,6.0410000000,1193180032,-6108041728,,7.4800000000,7.4000000000,,,,,1859340032,947576294
