StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
AME,37774712,26881970,654.7878400000,2.4324324000,465.9730000000,-20.7470000000,.0000000000,-22.7477700000,-.0689400000,-.1254200000,57690,.0000000000,6.0580000000,,-1295679,-1393043,-.0050000000,126834,.0000000000,250000,2.3030000000,.2580000000,.0370000000,-1000594,-1486935,2.0000002000,.1500000000,.0300000000,.0952419340,.0953586900,1019585,1028522,419719008,52233187
AMG,36840620,28756104,35.3523900000,4.7857140000,27.5940000000,-4.8320000000,.0000000000,-5.7770300000,-.4303600000,-.8987100000,1042097,.0010000000,,,-5950929,-5194756,-.0050000000,3209607,.0070000000,555980,7.9200000000,10.1340000000,.0140000000,-7472918,-5065325,.0634920600,.0750000000,.0260000000,.0552903230,.0462644920,1758864,3283983,549859968,255942874
AMI,506075296,292765344,1.5251546000,1.5241636000,.8820000000,3.0760000000,.0887300000,.1324100000,.0825900000,.1289900000,331819008,.3800000000,.2860000000,71974000,95162000,29442000,.0330000000,79103000,.0910000000,13535000,5.7620000000,2.2820000000,.2690000000,110531000,-12856875,-.0465116500,.6550000000,.2050000000,.4289062600,.4889208700,4908862,2971349,1234329984,830800258
AML,77920552,94465552,,1.2365592000,,-42.7640000000,.0000000000,.0000000000,-.0408700000,-.0823999940,,,,,-2209000,-5375000,-.0080000000,2477000,.0040000000,19044000,30.2120000000,2.6550000000,.0930000000,-1871000,-7845000,-.2068965400,.2250000000,.0540000000,.1250806500,.1323514400,444538,1177622,677569984,194022170
AMN,99744960,90198448,625.6741000000,2.6815640000,565.7910000000,-52.1280000000,.0000000000,-11.0725100000,-.0323800000,-.0576700000,159420,.0010000000,135.4250000000,159420,-1730337,-1799067,-.0100000000,5168894,.0260000000,277044,.7710000000,3.6700000000,.1790000000,-2057688,-13231394,.0666667200,.6800000000,.1650000000,.4627419400,.5404348000,57383,113592,207802000,138798714
ANL,9387000,-236191,11.4413100000,.2000000200,-.2880000000,.0590000000,.0000000000,-4.9528900000,-.1148799960,-.2051899900,820448,.0000000000,205116.0000000000,-150541,-3990454,-3801519,-.0010000000,1129978,.0000000000,3085884,15.1490000000,.5780000000,.0050000000,-1325743,-8868266,-.5000000000,.0030000000,.0010000000,.0013870968,.0015471015,16047875,15848293,9386999808,5334049650
ANO,238752240,239951744,12.2934680000,8.5961120000,12.3550000000,32.1170000000,.2743300200,.3670700200,.1719100000,.2321500000,19421064,.3280000000,.0060000000,12420592,7471220,5327726,.0880000000,259793,.0040000000,2959693,10.7350000000,8.3730000000,.4630000000,120055,-5937357,-.3102253000,6.8000000000,2.9200000000,4.2912903000,3.8961594000,26329,39457,59988000,18911595
ANS,86269056,90108640,-7728.8170000000,17.0000000000,-8072.8040000000,-33.0490000000,.0000000000,459.8585500000,-.3995000000,-.8252800000,-11162,.0000000000,-.8950000000,5839,-2726492,-5137734,-.0010000000,3450813,.0010000000,700643,11.8540000000,2.4140000000,.0010000000,-2244788,-1177637,.0000000000,.0170000000,.0170000000,.0170000000,.0170000000,0,0,5749859840,3804206807
ANW,2885330,7931833,41.2543600000,.5000000000,113.4090000000,-4.2100000000,.0000000000,-34.3927730000,-.1166899950,-.3246600000,69940,.0000000000,,8793,-1883936,-2245240,-.0010000000,4066,.0000000000,2607905,39.9200000000,.0110000000,.0020000000,-827107,311874,.5000000000,.0020000000,.0010000000,.0010967742,.0011195652,22186062,46395235,4928900096,2275728500
AOA,4338954,3406016,,6.0000000000,,-10.6700000000,.0000000000,.0000000000,-.5128799700,-.8984600300,,,,-21337,-319229,-1103915,-.0020000000,389820,.0010000000,0,,2.9640000000,.0010000000,-302200,-13675,1.0000000000,.0130000000,.0010000000,.0059354840,.0062101450,5101015,5004185,723158976,328738382
